Number,Pile_Length,Pile_Length_(ft.)
248,11.67,17.50
249,20.83,26.50
250,20.83,31.50
251,20.83,28.50
252,20.83,26.50
253,25.83,34.50
254,25.83,34.50
255,25.83,34.50
256,25.83,34.50
257,30.83,29.92
258,30.83,30.92
259,30.83,31.50
260,30.83,34.50
261,40.83,66.50
262,40.83,69.50
263,40.83,68.50
264,40.53,66.50
265,50.83,53.34
266,50.83,54.34
267,50.83,61.76
268,50.83,51.34
269,53.42,52.09
270,53.42,52.09
271,53.42,52.09
272,22.58,38.25
273,22.58,43.25
274,22.58,50.25
275,20.83,29.50
276,20.83,29.50
277,20.83,38.00
278,25.42,31.69
279,26.67,27.34
280,26.67,32.34
281,26.67,26.76
282,23.42,10.51
283,11.67,18.34
284,11.67,18.34
285,11.67,18.34
286,13.42,8.09
287,11.67,22.34
288,11.67,21.34
289,11.67,21.34
290,13.42,16.09
291,21.67,29.34
292,21.67,30.34
293,21.67,30.34
294,28.42,31.09
295,26.67,24.34
296,26.67,35.34
297,26.67,35.34
298,28.42,37.09
299,31.67,37.34
300,31.67,37.34
301,31.67,39.76
302,38.42,63.09
303,41.67,67.34
304,41.67,67.34
305,41.67,67.34
306,53.42,64.09
307,51.67,51.34
308,51.67,50.76
309,51.67,46.34
310,53.42,50.09
311,53.42,49.09
